X,Y,Z,azimuth,dip,polarity,formation
1388.3752,0,842.2952,270,86,1,fault_1
801.4848,0,1620.2099,90,39,1,fault_2
1431.3044,0,1851.9211,270,86,1,fault_2
3776.4391,0,1840.6254,90,58,1,fault_3
1166.6433,0,1572.1860,270,8,1,Kp
300,0,1910,270,8,1,Jsc
1492.3948,0,1296.9015,270,8,1,Jsc
2772.2628,0,1470.2028,270,8,1,Jsc
1443.5121,0,409.8868,270,8,1,Jsch
1498.7162,0,-271.05,270,8,1,Jc
632.9036,0,-131.838,270,8,1,Jc
