X,Y,Z,azimuth,dip,polarity,formation
14319.7829,1000,-1975.6464,0,5,1,S6
16072.2194,1000,-3001.2948,0,5,1,S5
16016.2934,1000,-4375.8872,0,5,1,S4
7967.5222,1000,-4934.2093,0,5,1,S3
3162.997,1000,-5734.5648,0,5,1,S2
17879.2494,1000,-6813.7693,0,5,2,S1
2260.924,1000,-8458.1884,90,70,2,Falla1
3941.513,1000,-12426.5024,90,70,2,Falla1
28565.6416,1000,-5460.5437,270,35,2,Falla2
15162.3512,1000,-13106.3104,270,35,3,Falla2
24392.154,1000,-12133.2517,270,35,2,Falla3
