X,Y,Z,azimuth,dip,polarity,formation
2409.2306,0,-752.5515,270,60,1,fault_corual
2409.2306,1000,-752.5515,270,60,1,fault_corual
5027.0557,0,-1141.9508,270,22,1,PTc
5027.0557,1000,-1141.9508,270,22,1,PTc
6307.7695,0,-616.9888,270,35,1,PTc
6307.7695,1000,-616.9888,270,35,1,PTc
7982.0563,0,-494.2181,0,0,1,PTc
7982.0563,1000,-494.2181,0,0,1,PTc
4288.5458,0,-341.3156,270,22,1,TJg
4288.5458,1000,-341.3156,270,22,1,TJg
2541.3916,0,-656.7373,90,0,1,TJg
2541.3916,1000,-656.7373,90,0,1,TJg
