X,Y,Z,formation
9836.8699,0,-127.7825,NgQs
9980.0148,0,-127.7825,NgQs
29.2687,1000,-285.0091,Ngc
195.5971,1000,-305.2253,Ngc
405.3549,1000,-330.7199,Ngc
639.4772,1000,-359.176,Ngc
872.358,1000,-387.4811,Ngc
1118.707,1000,-417.4233,Ngc
1435.7874,1000,-455.9623,Ngc
1835.2966,1000,-504.5201,Ngc
2141.1228,1000,-524.5463,Ngc
2556.9446,1000,-577.3326,Ngc
2861.5056,1000,-597.5488,Ngc
3145.2017,1000,-632.3994,Ngc
3386.8854,1000,-662.089,Ngc
3618.3385,1000,-706.5253,Ngc
3846.8891,1000,-721.2086,Ngc
4070.2192,1000,-735.5565,Ngc
4266.0815,1000,-766.1332,Ngc
4371.0923,1000,-782.5268,Ngc
29.2687,0,-285.0091,Ngc
195.5971,0,-305.2253,Ngc
405.3549,0,-330.7199,Ngc
639.4772,0,-359.176,Ngc
872.358,0,-387.4811,Ngc
1118.707,0,-417.4233,Ngc
1435.7874,0,-455.9623,Ngc
1835.2966,0,-504.5201,Ngc
2141.1228,0,-524.5463,Ngc
2556.9446,0,-577.3326,Ngc
2861.5056,0,-597.5488,Ngc
3145.2017,0,-632.3994,Ngc
3386.8854,0,-662.089,Ngc
3618.3385,0,-706.5253,Ngc
3846.8891,0,-721.2086,Ngc
4070.2192,0,-735.5565,Ngc
4266.0815,0,-766.1332,Ngc
4371.0923,0,-782.5268,Ngc
5492.2463,1000,-312.0406,Ngc
5621.2438,1000,-271.3917,Ngc
5799.0518,1000,-235.3885,Ngc
5996.6164,1000,-177.3187,Ngc
6175.9955,1000,-124.5942,Ngc
6331.4059,1000,-78.9147,Ngc
6504.4935,1000,-28.0394,Ngc
6641.0618,1000,16.2101,Ngc
6810.3819,1000,80.2658,Ngc
6900.2963,1000,131.6122,Ngc
7029.9133,1000,224.9697,Ngc
8133.2119,1000,-50.0883,Ngc
8227.2846,1000,-39.1567,Ngc
8549.9945,1000,-56.5063,Ngc
8771.6101,1000,-68.4208,Ngc
8998.9188,1000,-101.3697,Ngc
9178.9249,1000,-127.4619,Ngc
9366.0443,1000,-154.5853,Ngc
9609.8035,1000,-174.311,Ngc
9783.9463,1000,-196.5556,Ngc
9948.1354,1000,-196.5556,Ngc
9983.4059,1000,-196.5556,Ngc
5264.3588,1000,-48.0577,Falla
5472.2104,1000,-361.4568,Falla
5604.0475,1000,-601.5704,Falla
5691.8864,1000,-728.669,Falla
5732.5253,1000,-787.4715,Falla
22.3461,1000,-502.3277,Pgc
193.4714,1000,-521.0513,Pgc
378.4239,1000,-541.2879,Pgc
610.6673,1000,-588.4598,Pgc
760.0408,1000,-618.7996,Pgc
1003.1814,1000,-649.8158,Pgc
1276.7315,1000,-703.4913,Pgc
1507.8131,1000,-732.202,Pgc
2835.4618,1000,-962.1071,Pgc
3622.0896,1000,-1098.3252,Pgc
4312.2833,1000,-1217.8441,Pgc
5027.0911,1000,-1217.8441,Pgc
